pkg,date,downloads
clumper,2021-01-13,54
human-learn,2021-01-13,8
mktestdocs,2021-01-13,2
scikit-lego,2021-01-13,45
whatlies,2021-01-13,6
clumper,2021-01-14,3
human-learn,2021-01-14,11
mktestdocs,2021-01-14,1
scikit-lego,2021-01-14,45
whatlies,2021-01-14,18
clumper,2021-01-15,18
human-learn,2021-01-15,30
memo,2021-01-15,6
mktestdocs,2021-01-15,4
scikit-lego,2021-01-15,36
whatlies,2021-01-15,97
clumper,2021-01-16,54
human-learn,2021-01-16,13
memo,2021-01-16,12
mktestdocs,2021-01-16,5
scikit-lego,2021-01-16,57
whatlies,2021-01-16,40
clumper,2021-01-17,24
human-learn,2021-01-17,7
memo,2021-01-17,139
mktestdocs,2021-01-17,12
scikit-lego,2021-01-17,49
whatlies,2021-01-17,110
clumper,2021-01-18,40
human-learn,2021-01-18,3
memo,2021-01-18,28
mktestdocs,2021-01-18,2
scikit-lego,2021-01-18,58
whatlies,2021-01-18,6
clumper,2021-01-19,37
human-learn,2021-01-19,28
memo,2021-01-19,18
mktestdocs,2021-01-19,6
scikit-lego,2021-01-19,120
whatlies,2021-01-19,152
clumper,2021-01-20,12
human-learn,2021-01-20,26
memo,2021-01-20,11
mktestdocs,2021-01-20,6
scikit-lego,2021-01-20,95
whatlies,2021-01-20,14
clumper,2021-01-21,6
human-learn,2021-01-21,6
memo,2021-01-21,15
mktestdocs,2021-01-21,4
scikit-lego,2021-01-21,44
whatlies,2021-01-21,92
clumper,2021-01-22,28
human-learn,2021-01-22,9
memo,2021-01-22,10
mktestdocs,2021-01-22,2
scikit-lego,2021-01-22,25
whatlies,2021-01-22,152
clumper,2021-01-23,21
human-learn,2021-01-23,1
memo,2021-01-23,12
mktestdocs,2021-01-23,3
scikit-lego,2021-01-23,25
whatlies,2021-01-23,86
clumper,2021-01-24,6
human-learn,2021-01-24,17
memo,2021-01-24,15
mktestdocs,2021-01-24,4
scikit-lego,2021-01-24,146
whatlies,2021-01-24,83
clumper,2021-01-25,71
human-learn,2021-01-25,30
memo,2021-01-25,28
mktestdocs,2021-01-25,8
scikit-lego,2021-01-25,31
whatlies,2021-01-25,49
clumper,2021-01-26,35
human-learn,2021-01-26,20
memo,2021-01-26,20
mktestdocs,2021-01-26,4
scikit-lego,2021-01-26,69
whatlies,2021-01-26,21
clumper,2021-01-27,31
human-learn,2021-01-27,11
memo,2021-01-27,15
mktestdocs,2021-01-27,5
scikit-lego,2021-01-27,131
whatlies,2021-01-27,162
clumper,2021-01-28,21
human-learn,2021-01-28,71
memo,2021-01-28,14
mktestdocs,2021-01-28,6
scikit-lego,2021-01-28,231
whatlies,2021-01-28,181
clumper,2021-01-29,57
human-learn,2021-01-29,11
memo,2021-01-29,35
mktestdocs,2021-01-29,7
scikit-lego,2021-01-29,59
whatlies,2021-01-29,42
clumper,2021-01-30,45
human-learn,2021-01-30,38
memo,2021-01-30,22
mktestdocs,2021-01-30,6
scikit-lego,2021-01-30,74
whatlies,2021-01-30,86
clumper,2021-01-31,61
human-learn,2021-01-31,21
memo,2021-01-31,22
mktestdocs,2021-01-31,4
scikit-lego,2021-01-31,57
whatlies,2021-01-31,25
clumper,2021-02-01,15
human-learn,2021-02-01,23
memo,2021-02-01,24
mktestdocs,2021-02-01,8
scikit-lego,2021-02-01,622
whatlies,2021-02-01,14
clumper,2021-02-02,105
human-learn,2021-02-02,60
memo,2021-02-02,28
mktestdocs,2021-02-02,22
scikit-lego,2021-02-02,1157
whatlies,2021-02-02,103
clumper,2021-02-03,114
human-learn,2021-02-03,42
memo,2021-02-03,32
mktestdocs,2021-02-03,10
scikit-lego,2021-02-03,96
whatlies,2021-02-03,67
clumper,2021-02-04,81
human-learn,2021-02-04,75
memo,2021-02-04,28
mktestdocs,2021-02-04,12
scikit-lego,2021-02-04,110
tokenwiser,2021-02-04,129
whatlies,2021-02-04,24
clumper,2021-02-05,67
human-learn,2021-02-05,53
memo,2021-02-05,63
mktestdocs,2021-02-05,20
scikit-lego,2021-02-05,88
tokenwiser,2021-02-05,64
whatlies,2021-02-05,109
clumper,2021-02-06,22
human-learn,2021-02-06,40
memo,2021-02-06,10
mktestdocs,2021-02-06,1
scikit-lego,2021-02-06,94
tokenwiser,2021-02-06,30
whatlies,2021-02-06,117
clumper,2021-02-07,148
human-learn,2021-02-07,38
memo,2021-02-07,16
mktestdocs,2021-02-07,21
scikit-lego,2021-02-07,199
tokenwiser,2021-02-07,9
whatlies,2021-02-07,9
clumper,2021-02-08,178
human-learn,2021-02-08,34
memo,2021-02-08,27
mktestdocs,2021-02-08,18
scikit-lego,2021-02-08,108
tokenwiser,2021-02-08,8
whatlies,2021-02-08,177
clumper,2021-02-09,81
human-learn,2021-02-09,24
memo,2021-02-09,12
mktestdocs,2021-02-09,10
scikit-lego,2021-02-09,204
tokenwiser,2021-02-09,10
whatlies,2021-02-09,39
clumper,2021-02-10,23
human-learn,2021-02-10,8
memo,2021-02-10,10
mktestdocs,2021-02-10,8
scikit-lego,2021-02-10,324
tokenwiser,2021-02-10,9
whatlies,2021-02-10,397
clumper,2021-02-11,64
human-learn,2021-02-11,39
memo,2021-02-11,9
mktestdocs,2021-02-11,6
scikit-lego,2021-02-11,94
tokenwiser,2021-02-11,8
whatlies,2021-02-11,368
clumper,2021-02-12,47
human-learn,2021-02-12,6
memo,2021-02-12,8
mktestdocs,2021-02-12,2
scikit-lego,2021-02-12,44
tokenwiser,2021-02-12,6
whatlies,2021-02-12,33
clumper,2021-02-13,167
human-learn,2021-02-13,27
memo,2021-02-13,15
mktestdocs,2021-02-13,15
scikit-lego,2021-02-13,79
tokenwiser,2021-02-13,5
whatlies,2021-02-13,103
clumper,2021-02-14,127
human-learn,2021-02-14,8
memo,2021-02-14,2
mktestdocs,2021-02-14,9
scikit-lego,2021-02-14,23
tokenwiser,2021-02-14,1
whatlies,2021-02-14,6
clumper,2021-02-15,62
human-learn,2021-02-15,37
scikit-lego,2021-02-15,118
tokenwiser,2021-02-15,2
whatlies,2021-02-15,89
clumper,2021-02-16,49
human-learn,2021-02-16,36
memo,2021-02-16,11
mktestdocs,2021-02-16,2
scikit-lego,2021-02-16,57
tokenwiser,2021-02-16,4
whatlies,2021-02-16,142
clumper,2021-02-17,96
human-learn,2021-02-17,11
memo,2021-02-17,4
mktestdocs,2021-02-17,2
scikit-lego,2021-02-17,80
tokenwiser,2021-02-17,1
whatlies,2021-02-17,210
clumper,2021-02-18,46
human-learn,2021-02-18,45
memo,2021-02-18,20
mktestdocs,2021-02-18,4
scikit-lego,2021-02-18,141
tokenwiser,2021-02-18,5
whatlies,2021-02-18,151
clumper,2021-02-19,26
human-learn,2021-02-19,71
memo,2021-02-19,19
mktestdocs,2021-02-19,4
scikit-lego,2021-02-19,100
tokenwiser,2021-02-19,4
whatlies,2021-02-19,103
clumper,2021-02-20,132
human-learn,2021-02-20,4
memo,2021-02-20,16
mktestdocs,2021-02-20,5
scikit-lego,2021-02-20,46
whatlies,2021-02-20,16
clumper,2021-02-21,83
human-learn,2021-02-21,35
memo,2021-02-21,10
mktestdocs,2021-02-21,29
scikit-lego,2021-02-21,77
tokenwiser,2021-02-21,103
whatlies,2021-02-21,47
clumper,2021-02-22,50
human-learn,2021-02-22,23
memo,2021-02-22,9
mktestdocs,2021-02-22,7
scikit-lego,2021-02-22,135
tokenwiser,2021-02-22,101
whatlies,2021-02-22,98
clumper,2021-02-23,132
human-learn,2021-02-23,17
memo,2021-02-23,19
mktestdocs,2021-02-23,4
scikit-lego,2021-02-23,55
tokenwiser,2021-02-23,28
whatlies,2021-02-23,141
clumper,2021-02-24,100
human-learn,2021-02-24,14
memo,2021-02-24,6
mktestdocs,2021-02-24,19
scikit-lego,2021-02-24,149
tokenwiser,2021-02-24,7
whatlies,2021-02-24,294
clumper,2021-02-25,50
human-learn,2021-02-25,53
memo,2021-02-25,18
mktestdocs,2021-02-25,4
scikit-lego,2021-02-25,59
tokenwiser,2021-02-25,9
whatlies,2021-02-25,157
clumper,2021-02-26,31
human-learn,2021-02-26,35
memo,2021-02-26,27
mktestdocs,2021-02-26,6
scikit-lego,2021-02-26,140
tokenwiser,2021-02-26,14
whatlies,2021-02-26,135
clumper,2021-02-27,13
human-learn,2021-02-27,1
memo,2021-02-27,8
mktestdocs,2021-02-27,2
scikit-lego,2021-02-27,122
tokenwiser,2021-02-27,11
whatlies,2021-02-27,196
clumper,2021-02-28,115
human-learn,2021-02-28,19
memo,2021-02-28,14
mktestdocs,2021-02-28,3
scikit-lego,2021-02-28,124
tokenwiser,2021-02-28,14
whatlies,2021-02-28,120
clumper,2021-03-01,131
human-learn,2021-03-01,42
memo,2021-03-01,31
mktestdocs,2021-03-01,20
scikit-lego,2021-03-01,142
tokenwiser,2021-03-01,8
whatlies,2021-03-01,100
clumper,2021-03-02,275
human-learn,2021-03-02,61
memo,2021-03-02,52
mktestdocs,2021-03-02,16
scikit-lego,2021-03-02,359
whatlies,2021-03-02,143
clumper,2021-03-03,64
human-learn,2021-03-03,42
memo,2021-03-03,25
mktestdocs,2021-03-03,7
scikit-lego,2021-03-03,347
tokenwiser,2021-03-03,18
whatlies,2021-03-03,115
clumper,2021-03-04,112
human-learn,2021-03-04,34
memo,2021-03-04,26
mktestdocs,2021-03-04,4
scikit-lego,2021-03-04,117
tokenwiser,2021-03-04,10
whatlies,2021-03-04,533
clumper,2021-03-05,34
human-learn,2021-03-05,12
memo,2021-03-05,7
mktestdocs,2021-03-05,2
scikit-lego,2021-03-05,105
tokenwiser,2021-03-05,7
whatlies,2021-03-05,55
clumper,2021-03-06,75
human-learn,2021-03-06,36
memo,2021-03-06,10
mktestdocs,2021-03-06,7
scikit-lego,2021-03-06,154
tokenwiser,2021-03-06,22
whatlies,2021-03-06,274
clumper,2021-03-07,123
human-learn,2021-03-07,50
memo,2021-03-07,13
mktestdocs,2021-03-07,105
scikit-lego,2021-03-07,32
tokenwiser,2021-03-07,16
whatlies,2021-03-07,41
clumper,2021-03-08,41
human-learn,2021-03-08,35
memo,2021-03-08,23
mktestdocs,2021-03-08,93
scikit-lego,2021-03-08,220
tokenwiser,2021-03-08,105
whatlies,2021-03-08,110
clumper,2021-03-09,94
human-learn,2021-03-09,54
memo,2021-03-09,33
mktestdocs,2021-03-09,38
scikit-lego,2021-03-09,165
tokenwiser,2021-03-09,108
whatlies,2021-03-09,129
clumper,2021-03-10,27
human-learn,2021-03-10,7
memo,2021-03-10,43
mktestdocs,2021-03-10,35
scikit-lego,2021-03-10,166
tokenwiser,2021-03-10,19
whatlies,2021-03-10,197
clumper,2021-03-11,76
human-learn,2021-03-11,7
memo,2021-03-11,12
mktestdocs,2021-03-11,18
scikit-lego,2021-03-11,335
tokenwiser,2021-03-11,28
whatlies,2021-03-11,61
clumper,2021-03-12,46
human-learn,2021-03-12,31
memo,2021-03-12,12
mktestdocs,2021-03-12,17
scikit-lego,2021-03-12,173
tokenwiser,2021-03-12,9
whatlies,2021-03-12,42
clumper,2021-03-13,39
human-learn,2021-03-13,19
memo,2021-03-13,3
mktestdocs,2021-03-13,8
scikit-lego,2021-03-13,35
tokenwiser,2021-03-13,28
whatlies,2021-03-13,196
clumper,2021-03-14,53
human-learn,2021-03-14,6
memo,2021-03-14,40
mktestdocs,2021-03-14,22
scikit-lego,2021-03-14,138
tokenwiser,2021-03-14,28
whatlies,2021-03-14,211
clumper,2021-03-15,40
human-learn,2021-03-15,30
memo,2021-03-15,5
mktestdocs,2021-03-15,12
scikit-lego,2021-03-15,179
tokenwiser,2021-03-15,19
whatlies,2021-03-15,95
clumper,2021-03-16,78
human-learn,2021-03-16,119
memo,2021-03-16,12
mktestdocs,2021-03-16,12
scikit-lego,2021-03-16,262
tokenwiser,2021-03-16,13
whatlies,2021-03-16,275
clumper,2021-03-17,73
human-learn,2021-03-17,177
memo,2021-03-17,30
mktestdocs,2021-03-17,20
scikit-lego,2021-03-17,303
tokenwiser,2021-03-17,26
whatlies,2021-03-17,134
clumper,2021-03-18,65
human-learn,2021-03-18,16
memo,2021-03-18,20
mktestdocs,2021-03-18,16
scikit-lego,2021-03-18,129
tokenwiser,2021-03-18,30
whatlies,2021-03-18,68
clumper,2021-03-19,53
human-learn,2021-03-19,30
memo,2021-03-19,5
mktestdocs,2021-03-19,9
scikit-lego,2021-03-19,227
tokenwiser,2021-03-19,16
whatlies,2021-03-19,141
clumper,2021-03-20,55
human-learn,2021-03-20,53
memo,2021-03-20,29
mktestdocs,2021-03-20,20
scikit-lego,2021-03-20,26
tokenwiser,2021-03-20,6
whatlies,2021-03-20,95
clumper,2021-03-21,19
human-learn,2021-03-21,53
memo,2021-03-21,21
mktestdocs,2021-03-21,33
scikit-lego,2021-03-21,69
tokenwiser,2021-03-21,21
whatlies,2021-03-21,127
clumper,2021-03-22,58
human-learn,2021-03-22,8
memo,2021-03-22,11
mktestdocs,2021-03-22,9
scikit-lego,2021-03-22,227
tokenwiser,2021-03-22,11
whatlies,2021-03-22,23
clumper,2021-03-23,129
human-learn,2021-03-23,33
memo,2021-03-23,6
mktestdocs,2021-03-23,8
scikit-lego,2021-03-23,180
tokenwiser,2021-03-23,18
whatlies,2021-03-23,11
clumper,2021-03-24,95
human-learn,2021-03-24,20
memo,2021-03-24,25
mktestdocs,2021-03-24,17
scikit-lego,2021-03-24,159
tokenwiser,2021-03-24,183
whatlies,2021-03-24,212
clumper,2021-03-25,92
human-learn,2021-03-25,23
memo,2021-03-25,16
mktestdocs,2021-03-25,16
scikit-lego,2021-03-25,83
tokenwiser,2021-03-25,69
whatlies,2021-03-25,54
clumper,2021-03-26,59
human-learn,2021-03-26,105
memo,2021-03-26,27
mktestdocs,2021-03-26,19
scikit-lego,2021-03-26,94
tokenwiser,2021-03-26,30
whatlies,2021-03-26,124
clumper,2021-03-27,141
human-learn,2021-03-27,75
memo,2021-03-27,42
mktestdocs,2021-03-27,19
scikit-lego,2021-03-27,91
tokenwiser,2021-03-27,32
whatlies,2021-03-27,101
clumper,2021-03-28,38
human-learn,2021-03-28,24
memo,2021-03-28,34
mktestdocs,2021-03-28,21
scikit-lego,2021-03-28,211
tokenwiser,2021-03-28,4
whatlies,2021-03-28,26
clumper,2021-03-29,16
human-learn,2021-03-29,38
memo,2021-03-29,3
mktestdocs,2021-03-29,8
scikit-lego,2021-03-29,213
tokenwiser,2021-03-29,34
whatlies,2021-03-29,102
clumper,2021-03-30,65
human-learn,2021-03-30,58
memo,2021-03-30,4
mktestdocs,2021-03-30,15
scikit-lego,2021-03-30,119
tokenwiser,2021-03-30,17
whatlies,2021-03-30,164
clumper,2021-03-31,63
human-learn,2021-03-31,26
memo,2021-03-31,19
mktestdocs,2021-03-31,26
scikit-lego,2021-03-31,88
tokenwiser,2021-03-31,116
whatlies,2021-03-31,15
clumper,2021-04-01,93
human-learn,2021-04-01,45
